Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"406003915115",Labubu Forest Fairy Tale Series Vinyl Plush China Exclusive - US SELLER,,,"2","FIXED_PRICE","USD",150.0,,,150.0,"15","86","","Jun-27-25 18:32:08 PDT","Aug-27-25 18:32:08 PDT","Action Figures","261068","","","New","","","","","","US","6931571082000","",""
"406008421418",POP MART Skullpanda L’impressionnisme Series Blind Box – 100 % Authentic,MPN=Pond;Blossom;Teakwood;Lightning;Windflower;Dawn;Mist;Dew;Amber,,"1","FIXED_PRICE","USD",20.0,,,20.0,"14","9","","Jun-29-25 18:40:59 PDT","Aug-29-25 18:40:59 PDT","Action Figures","261068","","","New","","","","","","US","","",""
"406008421418",POP MART Skullpanda L’impressionnisme Series Blind Box – 100 % Authentic,MPN=Pond,,"0","FIXED_PRICE","USD",20.0,,,,"3",,,"Jun-29-25 18:40:59 PDT","Aug-29-25 18:40:59 PDT","Action Figures","261068","","","New",,,,,"","US","","",""
"406008421418",POP MART Skullpanda L’impressionnisme Series Blind Box – 100 % Authentic,MPN=Blossom,,"0","FIXED_PRICE","USD",20.0,,,,"1",,,"Jun-29-25 18:40:59 PDT","Aug-29-25 18:40:59 PDT","Action Figures","261068","","","New",,,,,"","US","","",""
"406008421418",POP MART Skullpanda L’impressionnisme Series Blind Box – 100 % Authentic,MPN=Teakwood,,"1","FIXED_PRICE","USD",20.0,,,,"1",,,"Jun-29-25 18:40:59 PDT","Aug-29-25 18:40:59 PDT","Action Figures","261068","","","New",,,,,"","US","","",""
"406008421418",POP MART Skullpanda L’impressionnisme Series Blind Box – 100 % Authentic,MPN=Lightning,,"0","FIXED_PRICE","USD",20.0,,,,"1",,,"Jun-29-25 18:40:59 PDT","Aug-29-25 18:40:59 PDT","Action Figures","261068","","","New",,,,,"","US","","",""
"406008421418",POP MART Skullpanda L’impressionnisme Series Blind Box – 100 % Authentic,MPN=Windflower,,"0","FIXED_PRICE","USD",20.0,,,,"1",,,"Jun-29-25 18:40:59 PDT","Aug-29-25 18:40:59 PDT","Action Figures","261068","","","New",,,,,"","US","","",""
"406008421418",POP MART Skullpanda L’impressionnisme Series Blind Box – 100 % Authentic,MPN=Dawn,,"0","FIXED_PRICE","USD",20.0,,,,"1",,,"Jun-29-25 18:40:59 PDT","Aug-29-25 18:40:59 PDT","Action Figures","261068","","","New",,,,,"","US","","",""
"406008421418",POP MART Skullpanda L’impressionnisme Series Blind Box – 100 % Authentic,MPN=Mist,,"0","FIXED_PRICE","USD",20.0,,,,"2",,,"Jun-29-25 18:40:59 PDT","Aug-29-25 18:40:59 PDT","Action Figures","261068","","","New",,,,,"","US","","",""
"406008421418",POP MART Skullpanda L’impressionnisme Series Blind Box – 100 % Authentic,MPN=Dew,,"0","FIXED_PRICE","USD",20.0,,,,"3",,,"Jun-29-25 18:40:59 PDT","Aug-29-25 18:40:59 PDT","Action Figures","261068","","","New",,,,,"","US","","",""
"406008421418",POP MART Skullpanda L’impressionnisme Series Blind Box – 100 % Authentic,MPN=Amber,,"0","FIXED_PRICE","USD",20.0,,,,"1",,,"Jun-29-25 18:40:59 PDT","Aug-29-25 18:40:59 PDT","Action Figures","261068","","","New",,,,,"","US","","",""
"406004302466",POP MART Hacipupu Gummy Bear Blind Box – Authentic US Seller,MPN=Peach;Green Apple;Pineapple;Blueberry;Grape;Cherry;Blind Box,,"0","FIXED_PRICE","USD",25.0,,,25.0,"3","0","","Jun-27-25 23:08:28 PDT","Aug-27-25 23:08:28 PDT","Mixed Lots","49018","","","New","","","","","","US","","",""
"406004302466",POP MART Hacipupu Gummy Bear Blind Box – Authentic US Seller,MPN=Blueberry,,"0","FIXED_PRICE","USD",25.0,,,,"1",,,"Jun-27-25 23:08:28 PDT","Aug-27-25 23:08:28 PDT","Mixed Lots","49018","","","New",,,,,"","US","","",""
"406004302466",POP MART Hacipupu Gummy Bear Blind Box – Authentic US Seller,MPN=Cherry,,"0","FIXED_PRICE","USD",25.0,,,,"1",,,"Jun-27-25 23:08:28 PDT","Aug-27-25 23:08:28 PDT","Mixed Lots","49018","","","New",,,,,"","US","","",""
"406004302466",POP MART Hacipupu Gummy Bear Blind Box – Authentic US Seller,MPN=Pineapple,,"0","FIXED_PRICE","USD",25.0,,,,"1",,,"Jun-27-25 23:08:28 PDT","Aug-27-25 23:08:28 PDT","Mixed Lots","49018","","","New",,,,,"","US","","",""
"406044552584",POP MART Labubu Wacky Mart Series Vinyl Plush Hanging Card – 100 % Authentic New,,,"2","FIXED_PRICE","USD",170.0,,,170.0,"3","15","","Jul-13-25 17:13:48 PDT","Aug-13-25 17:13:48 PDT","Action Figures","261068","","","New","","","","","","US","Does not apply","",""
"406068172859","Pop Mart Labubu The Monsters ""Big into Energy"" Crystal Ball 6 Blind Box",,,"2","FIXED_PRICE","USD",160.0,,,160.0,"4","10","","Jul-22-25 02:28:56 PDT","Aug-22-25 02:28:56 PDT","Action Figures","261068","","","New","","","","","","US","","",""
"406076027304",POP MART Labubu Big Into Energy Snow Globe – Authentic Blind Box – Sealed,,,"5","FIXED_PRICE","USD",35.0,,,35.0,"0","2","","Jul-24-25 19:26:28 PDT","Aug-24-25 19:26:28 PDT","Other Animation Merchandise","69528","","","New","","","","","","US","","",""
"406076050752",2025 SKULLPANDA SHANGHAI'S “SIEGE AND CONFINEMENT” - US SELLER,,,"4","FIXED_PRICE","USD",130.0,,,130.0,"1","4","","Jul-24-25 19:39:38 PDT","Aug-24-25 19:39:38 PDT","Action Figures","261068","","","New","","","","","","US","","",""
"406086955002",POP MART Skullpanda Paradox Series Scented Candle – Authentic US Seller,,,"6","FIXED_PRICE","USD",45.0,,,45.0,"0","2","","Jul-29-25 00:37:29 PDT","Aug-29-25 00:37:29 PDT","Action Figures","261068","","","New","","","","","","US","","",""
"406097903608",POP MART The Monsters Wacky Mart Series Fragrance Blind Box Set (6)– Authentic,,,"0","FIXED_PRICE","USD",220.0,,,220.0,"1","1","","Aug-01-25 23:01:35 PDT","Sep-01-25 23:01:35 PDT","Action Figures","261068","","","New","","","","","","US","","",""
"406098217734",3D Printed Pumpkin Outfit for Labubu 🎃,Color=Purple;gold;Green;Lime green;Teal;Grey;Black;Hot Pink;White;Multi Color;Red,,"55","FIXED_PRICE","USD",10.0,,,10.0,"0","4","","Aug-02-25 00:26:28 PDT","Sep-02-25 00:26:28 PDT","Action Figures Accessories","261070","","","New","","","","","","US","","",""
"406098217734",3D Printed Pumpkin Outfit for Labubu 🎃,Color=Purple,,"5","FIXED_PRICE","USD",10.0,,,,"0",,,"Aug-02-25 00:26:28 PDT","Sep-02-25 00:26:28 PDT","Action Figures Accessories","261070","","","New",,,,,"","US","","",""
"406098217734",3D Printed Pumpkin Outfit for Labubu 🎃,Color=gold,,"5","FIXED_PRICE","USD",10.0,,,,"0",,,"Aug-02-25 00:26:28 PDT","Sep-02-25 00:26:28 PDT","Action Figures Accessories","261070","","","New",,,,,"","US","","",""
"406098217734",3D Printed Pumpkin Outfit for Labubu 🎃,Color=Green,,"5","FIXED_PRICE","USD",10.0,,,,"0",,,"Aug-02-25 00:26:28 PDT","Sep-02-25 00:26:28 PDT","Action Figures Accessories","261070","","","New",,,,,"","US","","",""
"406098217734",3D Printed Pumpkin Outfit for Labubu 🎃,Color=Lime green,,"5","FIXED_PRICE","USD",10.0,,,,"0",,,"Aug-02-25 00:26:28 PDT","Sep-02-25 00:26:28 PDT","Action Figures Accessories","261070","","","New",,,,,"","US","","",""
"406098217734",3D Printed Pumpkin Outfit for Labubu 🎃,Color=Teal,,"5","FIXED_PRICE","USD",10.0,,,,"0",,,"Aug-02-25 00:26:28 PDT","Sep-02-25 00:26:28 PDT","Action Figures Accessories","261070","","","New",,,,,"","US","","",""
"406098217734",3D Printed Pumpkin Outfit for Labubu 🎃,Color=Grey,,"5","FIXED_PRICE","USD",10.0,,,,"0",,,"Aug-02-25 00:26:28 PDT","Sep-02-25 00:26:28 PDT","Action Figures Accessories","261070","","","New",,,,,"","US","","",""
"406098217734",3D Printed Pumpkin Outfit for Labubu 🎃,Color=Black,,"5","FIXED_PRICE","USD",10.0,,,,"0",,,"Aug-02-25 00:26:28 PDT","Sep-02-25 00:26:28 PDT","Action Figures Accessories","261070","","","New",,,,,"","US","","",""
"406098217734",3D Printed Pumpkin Outfit for Labubu 🎃,Color=Hot Pink,,"5","FIXED_PRICE","USD",10.0,,,,"0",,,"Aug-02-25 00:26:28 PDT","Sep-02-25 00:26:28 PDT","Action Figures Accessories","261070","","","New",,,,,"","US","","",""
"406098217734",3D Printed Pumpkin Outfit for Labubu 🎃,Color=White,,"5","FIXED_PRICE","USD",10.0,,,,"0",,,"Aug-02-25 00:26:28 PDT","Sep-02-25 00:26:28 PDT","Action Figures Accessories","261070","","","New",,,,,"","US","","",""
"406098217734",3D Printed Pumpkin Outfit for Labubu 🎃,Color=Multi Color,,"5","FIXED_PRICE","USD",10.0,,,,"0",,,"Aug-02-25 00:26:28 PDT","Sep-02-25 00:26:28 PDT","Action Figures Accessories","261070","","","New",,,,,"","US","","",""
"406098217734",3D Printed Pumpkin Outfit for Labubu 🎃,Color=Red,,"5","FIXED_PRICE","USD",10.0,,,,"0",,,"Aug-02-25 00:26:28 PDT","Sep-02-25 00:26:28 PDT","Action Figures Accessories","261070","","","New",,,,,"","US","","",""
"406099809227",POP MART Skullpanda Paradox Series Scented Candle Set 6– Authentic US Seller,,,"1","FIXED_PRICE","USD",180.0,,,180.0,"0","4","","Aug-02-25 15:26:56 PDT","Sep-02-25 15:26:56 PDT","Action Figures","261068","","","New","","","","","","US","","",""
"406099819793",POP MART Labubu Tempura Shrimp Wacky Mart Earphone Holder – Authentic US Seller,,,"0","FIXED_PRICE","USD",60.0,,,60.0,"1","3","","Aug-02-25 15:31:12 PDT","Sep-02-25 15:31:12 PDT","Action Figures","261068","","","New","","","","","","US","","",""
"406099925126",POP MART Labubu Wacky Mart Series Vinyl Plush Hanging Card – 100 % Authentic New,,,"0","FIXED_PRICE","USD",100.0,,,100.0,"1","7","","Aug-02-25 16:30:21 PDT","Sep-02-25 16:30:21 PDT","Action Figures","261068","","","New","","","","","","US","","",""
"406101734910",POP MART Labubu The Monsters Big Into Energy Wireless Phone Charger – Authentic,,,"0","FIXED_PRICE","USD",50.0,,,50.0,"1","3","","Aug-03-25 10:12:32 PDT","Sep-03-25 10:12:32 PDT","Action Figures","261068","","","New","","","","","","US","","",""
"406113814899",POP MART × Disney Mickey & Friends “Family Cute Together” Figure Set – Authentic,,,"2","FIXED_PRICE","USD",230.0,,,230.0,"0","","","Aug-07-25 15:25:01 PDT","Sep-07-25 15:25:01 PDT","Action Figures","261068","","","New","","","","","","US","","",""
"406114073377",POP MART-CRYBABY Crying Again - Vinyl Face Plush - WHOLE FULL SET  US seller-NEW,,,"2","FIXED_PRICE","USD",250.0,,,250.0,"0","","","Aug-07-25 17:24:05 PDT","Sep-07-25 17:24:05 PDT","Action Figures","261068","","","New","","","","","","US","","",""
"406114077631",POP MART – Crybaby Crying Again Vinyl Face Plush (Single Box),,,"6","FIXED_PRICE","USD",40.0,,,40.0,"0","","","Aug-07-25 17:26:26 PDT","Sep-07-25 17:26:26 PDT","Action Figures","261068","","","New","","","","","","US","","",""